module:input:0:dim1	module:input:0:dim2	module:input:0:dim3	module:measure:PAPI:PAPI_L2_DCM	module:measure:PAPI:PAPI_L2_DC_MR	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:rssUsage	module:output:0:vmUsage
1000	1000	1000	8955963	0.0710265264552619	123057402577	20.593371	1425448104.891454	1425448084.298028	20860	23576
1000	1000	1000	9663757	0.07660124142630501	123057402574	20.585222	1425452859.144651	1425452838.559377	20860	23576
110	110	110	4315	0.02545317265096415	164770401	0.028197	1425452784.429143	1425452784.400939	1432	520
90	90	90	3513	0.03713687682354434	90492067	0.015917	1425452782.184288	1425452782.168364	1400	316
90	90	90	3776	0.03981400449172826	90492067	0.016098	1425457537.660885	1425457537.64478	1400	316
110	110	110	4229	0.0249411709198568	164770400	0.028125	1425457539.907759	1425457539.879627	1432	520
120	120	120	4403	0.02000599770996529	213732709	0.036657	1425448031.232459	1425448031.195795	1548	564
120	120	120	4437	0.02014245441050295	213732709	0.036322	1425452785.562553	1425452785.526224	1548	564
120	120	120	4282	0.01945497005879199	213732710	0.036276	1425457541.079472	1425457541.04319	1548	564
150	150	150	8514	0.01988606503962498	416772122	0.071283	1425448032.402644	1425448032.331356	1740	656
150	150	150	11342	0.02649993808425681	416772121	0.070211	1425452786.734911	1425452786.664694	1740	656
150	150	150	6663	0.01557164992182625	416772120	0.070414	1425457542.251683	1425457542.181262	1740	656
15	15	15	3122	0.6477178423236515	789800	0.000526	1425448014.635296	1425448014.634763	1216	128
15	15	15	3179	0.6573614557485525	789800	0.000526	1425452768.97338	1425452768.972847	1216	128
1000	1000	1000	9653289	0.07649625863427749	123057402593	20.59758	1425457614.695219	1425457594.097587	20860	23576
15	15	15	3213	0.6607032695866749	789800	0.000575	1425457524.486602	1425457524.48602	1216	128
2000	2000	2000	86697554	0.0753774393542657	984228570113	167.014573	1425448273.28836	1425448106.273735	91168	93884
2000	2000	2000	87348172	0.0760091450025896	984228571040	167.033954	1425453027.559679	1425452860.525673	91168	93884
2000	2000	2000	87455109	0.07608572303555221	984228571074	167.104593	1425457783.173913	1425457616.069267	91168	93884
200	200	200	71062	0.07040435293919498	986645740	0.165798	1425448033.670537	1425448033.504734	2160	1076
200	200	200	71655	0.07101093085712587	986645739	0.165568	1425452788.000558	1425452787.834983	2160	1076
200	200	200	67346	0.06673146989374847	986645742	0.165615	1425457543.511095	1425457543.345473	2160	1076
20	20	20	3198	0.6422976501305483	1372977	0.000652	1425448015.738214	1425448015.737556	1220	260
20	20	20	3299	0.6519762845849802	1372977	0.000671	1425452770.077578	1425452770.0769	1220	260
20	20	20	3112	0.6257792077216972	1372977	0.000648	1425457525.584524	1425457525.58387	1220	260
100	100	100	3943	0.0307626292178662	123937495	0.021449	1425448028.969151	1425448028.947697	1396	472
25	25	25	3293	0.6352237654320988	2323757	0.000824	1425448016.834785	1425448016.833954	1228	264
25	25	25	3290	0.6278625954198473	2323757	0.0008	1425452771.174842	1425452771.174036	1228	264
25	25	25	3286	0.6379343816734615	2323758	0.000826	1425457526.682137	1425457526.681305	1228	264
2	2	2	3955	0.7745789267528398	362665	0.005115	1425448009.110299	1425448009.105177	1212	128
2	2	2	3148	0.6609279865630905	362630	0.0005	1425452763.476278	1425452763.475771	1212	128
2	2	2	3113	0.6545416316232128	362631	0.000486	1425457518.951879	1425457518.951386	1212	128
3000	3000	3000	182617161	0.02729861637583343	3321513986438	561.073231	1425448836.15541	1425448275.082123	208360	211076
3000	3000	3000	181603857	0.02713231034586116	3321513988996	561.090095	1425453590.4395	1425453029.349352	208360	211076
3000	3000	3000	182809787	0.02731575406858351	3321513985784	561.030121	1425458345.97235	1425457784.942177	208360	211076
300	300	300	254148	0.07482701177750808	3326498146	0.5695249999999999	1425448035.336914	1425448034.767383	3324	2240
100	100	100	3889	0.03030869826128296	123937494	0.021219	1425452783.299943	1425452783.278717	1396	472
300	300	300	264099	0.07776063824618917	3326498135	0.556843	1425452789.659154	1425452789.102304	3324	2240
300	300	300	267036	0.07863329609307043	3326498132	0.557024	1425457545.166734	1425457544.609705	3324	2240
30	30	30	3296	0.6347005584440593	3738098	0.001088	1425448017.934317	1425448017.933222	1232	260
30	30	30	3174	0.610267256296866	3738097	0.001033	1425452772.271479	1425452772.27044	1232	260
30	30	30	3319	0.6325519344387269	3738098	0.001059	1425457527.775776	1425457527.77471	1232	260
35	35	35	3328	0.6192780052102717	5709623	0.001417	1425448019.032586	1425448019.031162	1240	268
35	35	35	3295	0.6088322246858833	5709623	0.001374	1425452773.378866	1425452773.377485	1240	268
35	35	35	3257	0.6067436661698957	5709623	0.001386	1425457528.869177	1425457528.867784	1240	268
4000	4000	4000	340104578	0.02144033642809724	7872913777840	1327.515847	1425450166.033718	1425448838.517819	372424	375140
4000	4000	4000	336585902	0.0212156902105457	7872913780608	1327.173005	1425454919.925166	1425453592.752108	372424	375140
100	100	100	3919	0.03055536063746014	123937495	0.02189	1425457538.778206	1425457538.75631	1396	472
4000	4000	4000	330307901	0.02082088079456932	7872913775906	1327.044986	1425459675.381179	1425458348.336141	372424	375140
400	400	400	590323	0.07342192542274729	7881490921	1.328878	1425448037.768958	1425448036.440074	4968	3884
400	400	400	540533	0.06724843064435242	7881490911	1.317782	1425452792.081879	1425452790.76409	4968	3884
400	400	400	519840	0.06466389057094395	7881490913	1.31841	1425457547.586337	1425457546.26792	4968	3884
40	40	40	3329	0.5901435915617799	8330952	0.001868	1425448020.141569	1425448020.139695	1244	276
40	40	40	3386	0.591028102635713	8330952	0.001813	1425452774.478089	1425452774.47627	1244	276
40	40	40	3342	0.5792027729636049	8330952	0.001863	1425457529.971153	1425457529.969283	1244	276
45	45	45	3254	0.5603581883933184	11690173	0.00244	1425448022.338392	1425448022.335945	1244	284
45	45	45	3282	0.5429280397022332	11690173	0.002378	1425452776.672915	1425452776.670531	1244	284
45	45	45	3349	0.5648507336819025	11690173	0.00239	1425457532.172599	1425457532.170203	1244	284
10	10	10	3159	0.6472034419176398	490057	0.000492	1425448013.535325	1425448013.534826	1212	128
4	4	4	3154	0.6562630045776113	370020	0.000475	1425448010.244262	1425448010.243781	1212	128
4	4	4	3114	0.6562697576396207	370020	0.000452	1425452764.572941	1425452764.572482	1212	128
4	4	4	3168	0.6679316888045541	370020	0.000465	1425457520.061091	1425457520.06062	1212	128
5000	5000	5000	691357165	0.02220892848656679	15376428070543	2592.955195	1425452762.020093	1425450169.064847	583360	586076
5000	5000	5000	712115740	0.02288026661495873	15376428080940	2594.518049	1425457517.497709	1425454922.979609	583360	586076
5000	5000	5000	726976471	0.02335298726337343	15376428082510	2595.230526	1425462273.667089	1425459678.436512	583360	586076
500	500	500	1028570	0.065487984393464	15389624552	2.596204	1425448041.49098	1425448038.894724	3280	5996
500	500	500	919675	0.0586059136803252	15389624174	2.572298	1425452795.774013	1425452793.201708	7080	5996
500	500	500	932394	0.05937989263149636	15389624549	2.583543	1425457551.28118	1425457548.697586	3280	5996
50	50	50	3398	0.4433137638617091	15883976	0.003156	1425448023.408658	1425448023.405495	1240	296
10	10	10	3305	0.6787841445882111	490058	0.000509	1425452767.87778	1425452767.877264	1212	128
50	50	50	3469	0.4688471415056089	15883975	0.003169	1425452777.739708	1425452777.736532	1240	296
50	50	50	3470	0.4647113968126423	15883975	0.003086	1425457533.239609	1425457533.236516	1240	296
600	600	600	1991841	0.07326776864988284	26588898090	4.46494	1425448047.068087	1425448042.60314	9660	8576
600	600	600	1906044	0.07010522787185634	26588898474	4.457659	1425452801.351868	1425452796.894159	5860	8576
600	600	600	2061847	0.07581369259384617	26588898423	4.459195	1425457556.855644	1425457552.396399	5860	8576
60	60	60	3463	0.2728060501024106	27139877	0.005133	1425448024.513017	1425448024.507877	1244	324
60	60	60	3488	0.2861831309484739	27139877	0.00497	1425452778.857545	1425452778.852569	1244	324
60	60	60	3317	0.2696967233108383	27139877	0.005118	1425457534.342377	1425457534.337252	1244	324
6	6	6	3107	0.6454092230992937	389896	0.000461	1425448011.339188	1425448011.338721	1212	128
6	6	6	3190	0.6570545829042225	389897	0.00049	1425452765.670765	1425452765.670268	1212	128
10	10	10	3132	0.641408969895556	490057	0.000477	1425457523.385283	1425457523.3848	1212	128
6	6	6	3164	0.6612330198537095	389896	0.00046	1425457521.159325	1425457521.158859	1212	128
700	700	700	2995407	0.06935111067440383	42217313063	7.079437	1425448055.282837	1425448048.203349	8908	11624
700	700	700	3327097	0.07701520722435748	42217313055	7.075839	1425452809.541159	1425452802.465269	8908	11624
700	700	700	3205605	0.07420690109214258	42217313121	7.086086	1425457565.061471	1425457557.975332	8908	11624
70	70	70	3633	0.07759338758249504	42835179	0.007849	1425448025.621749	1425448025.613894	1324	344
70	70	70	3511	0.07532556692626204	42835179	0.007795	1425452779.961208	1425452779.953406	1324	344
70	70	70	3486	0.07453655198956574	42835179	0.007597	1425457535.441164	1425457535.43356	1324	344
800	800	800	4622573	0.07168694275331668	63012868554	10.555738	1425448066.971473	1425448056.415682	12424	15140
800	800	800	4634022	0.07184590605397025	63012868655	10.553434	1425452821.218918	1425452810.665432	12424	15140
800	800	800	4787150	0.0742380360360637	63012868563	10.55748	1425457576.746588	1425457566.189055	12424	15140
110	110	110	4152	0.02448604083365769	164770400	0.028287	1425448030.097401	1425448030.069108	1432	520
80	80	80	3586	0.05303556903054056	63703962	0.011452	1425448026.731333	1425448026.719874	1360	276
80	80	80	3589	0.05301172786623733	63703962	0.011132	1425452781.070461	1425452781.059323	1360	276
80	80	80	3681	0.0544607190412783	63703962	0.01139	1425457536.547949	1425457536.536552	1360	276
8	8	8	3145	0.6415748674010608	427942	0.000498	1425448012.438608	1425448012.438103	1212	128
8	8	8	3096	0.6441947565543071	427941	0.000463	1425452766.767989	1425452766.767519	1212	128
8	8	8	3250	0.6651657797789603	427941	0.000521	1425457522.265842	1425457522.265315	1212	128
900	900	900	6718345	0.0731217316356931	89713565043	15.020494	1425448083.133669	1425448068.113123	16408	19124
900	900	900	6527837	0.07104424567182489	89713565255	15.010684	1425452837.379143	1425452822.368407	16408	19124
900	900	900	6772067	0.07371381950744656	89713565026	15.009807	1425457592.895301	1425457577.885442	16408	19124
90	90	90	3627	0.03823771269530014	90492067	0.016211	1425448027.849075	1425448027.832857	1400	316
