module:input:0:alpha	module:input:0:density	module:input:0:numVertex	module:measure:PAPI:PAPI_LD_INS	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:convergence	module:output:0:num_iterations
0.85	0.2	100000	81933988	215528255	0.03814	1426649385.443136	1426649385.40499	4.461977682618197e-06	14
0.85	0.2	100000	81933990	215528255	0.038126	1426649495.819053	1426649495.78092	4.461977682618197e-06	14
0.85	0.2	100000	81933913	215528255	0.038126	1426649604.31892	1426649604.280787	4.461977682618197e-06	14
0.85	0.3	100000	106857397	281476419	0.05211	1426649386.84509	1426649386.792974	5.932456973022082e-06	13
0.85	0.3	100000	106857300	281476420	0.052131	1426649497.18344	1426649497.131303	5.932456973022082e-06	13
0.85	0.3	100000	106857529	281476421	0.052432	1426649605.678806	1426649605.626367	5.932456973022082e-06	13
0.85	0.4	100000	133622308	352487854	0.067369	1426649388.333426	1426649388.26605	9.307207339263747e-06	13
0.85	0.4	100000	133622316	352487854	0.067358	1426649498.615403	1426649498.548038	9.307207339263747e-06	13
0.85	0.4	100000	133622068	352487855	0.06747400000000001	1426649607.109104	1426649607.041623	9.307207339263747e-06	13
0.85	0.5	100000	157568122	416233089	0.081148	1426649389.891107	1426649389.809953	3.938441747373961e-06	13
0.85	0.5	100000	157567539	416233088	0.080149	1426649500.120758	1426649500.040602	3.938441747373961e-06	13
0.85	0.5	100000	157567542	416233088	0.080168	1426649608.615629	1426649608.535454	3.938441747373961e-06	13
0.85	0.6	100000	165089514	436725541	0.08511000000000001	1426649391.510805	1426649391.425689	8.637639915166707e-06	12
0.85	0.6	100000	165089480	436725539	0.08471099999999999	1426649501.683641	1426649501.598924	8.637639915166707e-06	12
0.85	0.6	100000	165089164	436725540	0.084773	1426649610.177792	1426649610.093012	8.637639915166707e-06	12
0.85	0.7	100000	183127952	485094547	0.094149	1426649393.177838	1426649393.083682	1.757466945740278e-06	12
0.85	0.7	100000	183128089	485094545	0.09418700000000001	1426649503.313721	1426649503.219526	1.757466945740278e-06	12
0.85	0.7	100000	183127930	485094546	0.09411799999999999	1426649611.815011	1426649611.720886	1.757466945740278e-06	12
0.85	0.8	100000	199372564	528842226	0.105423	1426649394.950677	1426649394.845247	2.579963501929705e-06	12
0.85	0.8	100000	199372721	528842226	0.105951	1426649504.998491	1426649504.892533	2.579963501929705e-06	12
0.85	0.8	100000	199371776	528842220	0.104978	1426649613.501727	1426649613.396742	2.579963501929705e-06	12
0.85	0.2	200000	163897194	431083037	0.07879	1426649396.483982	1426649396.405185	4.226772289800302e-06	14
0.85	0.2	200000	163896782	431083034	0.078634	1426649506.483571	1426649506.404931	4.226772289800302e-06	14
0.85	0.2	200000	163896658	431083035	0.078574	1426649614.978827	1426649614.900246	4.226772289800302e-06	14
0.85	0.3	200000	229738150	605126926	0.114065	1426649398.180142	1426649398.066063	4.332256123899968e-06	14
0.85	0.3	200000	229738222	605126925	0.114039	1426649508.132388	1426649508.018341	4.332256123899968e-06	14
0.85	0.3	200000	229738353	605126926	0.113867	1426649616.627208	1426649616.513334	4.332256123899968e-06	14
0.85	0.4	200000	246434930	650060123	0.127761	1426649400.018644	1426649399.890876	7.893400358572148e-06	12
0.85	0.4	200000	246434801	650060121	0.127603	1426649509.932469	1426649509.804858	7.893400358572148e-06	12
0.85	0.4	200000	246434967	650060123	0.127497	1426649618.4152	1426649618.287695	7.893400358572148e-06	12
0.85	0.5	200000	290792652	768134619	0.154386	1426649402.032649	1426649401.878254	5.497835536610655e-06	12
0.85	0.5	200000	290792145	768134614	0.153817	1426649511.880535	1426649511.726711	5.497835536610655e-06	12
0.85	0.5	200000	290792394	768134616	0.154165	1426649620.365611	1426649620.211439	5.497835536610655e-06	12
0.85	0.6	200000	385848342	1020586336	0.200632	1426649404.238007	1426649404.037367	7.419658181554286e-06	14
0.85	0.6	200000	385847820	1020586336	0.201445	1426649514.006756	1426649513.805302	7.419658181554286e-06	14
0.85	0.6	200000	385847709	1020586337	0.200918	1426649622.487194	1426649622.286268	7.419658181554286e-06	14
0.85	0.7	200000	335399294	888441784	0.179626	1426649406.541497	1426649406.361863	7.735356463956129e-06	11
0.85	0.7	200000	335399105	888441784	0.179887	1426649516.232514	1426649516.052618	7.735356463956129e-06	11
0.85	0.7	200000	335399160	888441784	0.180328	1426649624.704224	1426649624.523887	7.735356463956129e-06	11
0.85	0.8	200000	365170645	968611140	0.209032	1426649408.930307	1426649408.721266	5.560201455760262e-06	11
0.85	0.8	200000	365171857	968611144	0.210098	1426649518.550351	1426649518.340245	5.560201455760262e-06	11
0.85	0.8	200000	365170665	968611144	0.211488	1426649627.031456	1426649626.819959	5.560201455760262e-06	11
0.85	0.2	300000	263271012	692427545	0.126593	1426649410.712062	1426649410.585461	3.713425487708807e-06	15
0.85	0.2	300000	263271034	692427544	0.126368	1426649520.276154	1426649520.149779	3.713425487708807e-06	15
0.85	0.2	300000	263270453	692427544	0.126541	1426649628.749418	1426649628.622869	3.713425487708807e-06	15
0.85	0.3	300000	319432665	841409361	0.157247	1426649412.715839	1426649412.558584	5.136004280166931e-06	13
0.85	0.3	300000	319432014	841409361	0.157288	1426649522.231161	1426649522.073865	5.136004280166931e-06	13
0.85	0.3	300000	319432969	841409360	0.157186	1426649630.699631	1426649630.542437	5.136004280166931e-06	13
0.85	0.4	300000	431756729	1138706190	0.242892	1426649415.019098	1426649414.776149	3.4976365150496e-06	14
0.85	0.4	300000	431712699	1138705992	0.230297	1426649524.443863	1426649524.213558	3.4976365150496e-06	14
0.85	0.4	300000	431715232	1138706019	0.233593	1426649632.922767	1426649632.689165	3.4976365150496e-06	14
0.85	0.5	300000	509217905	1345015623	0.279616	1426649417.557471	1426649417.277847	3.536566144206641e-06	14
0.85	0.5	300000	509216839	1345015624	0.280802	1426649526.920112	1426649526.639301	3.536566144206641e-06	14
0.85	0.5	300000	509217381	1345015629	0.284997	1426649635.408001	1426649635.122995	3.536566144206641e-06	14
0.85	0.6	300000	453727670	1200219128	0.275934	1426649420.286414	1426649420.010472	9.677196082203565e-06	11
0.85	0.6	300000	453725830	1200219127	0.27637	1426649529.555048	1426649529.27867	9.677196082203565e-06	11
0.85	0.6	300000	453725596	1200219130	0.27783	1426649638.046473	1426649637.768634	9.677196082203565e-06	11
0.85	0.7	300000	503528020	1333737460	0.330226	1426649423.215028	1426649422.884793	6.307621774664684e-06	11
0.85	0.7	300000	503525953	1333737459	0.329377	1426649532.414057	1426649532.08467	6.307621774664684e-06	11
0.85	0.7	300000	503528336	1333737461	0.33132	1426649640.916829	1426649640.5855	6.307621774664684e-06	11
0.85	0.8	300000	648813075	1720775432	0.437431	1426649426.404011	1426649425.966572	2.295753399026699e-06	13
0.85	0.8	300000	648813447	1720775432	0.438573	1426649535.549189	1426649535.110608	2.295753399026699e-06	13
0.85	0.8	300000	648812187	1720775431	0.437353	1426649644.057967	1426649643.620604	2.295753399026699e-06	13
0.85	0.2	400000	327615608	861657470	0.153076	1426649428.448508	1426649428.295425	4.612983001914474e-06	14
0.85	0.2	400000	327615198	861657470	0.153029	1426649537.520129	1426649537.367093	4.612983001914474e-06	14
0.85	0.2	400000	327615345	861657472	0.153253	1426649646.069162	1426649645.915902	4.612983001914474e-06	14
0.85	0.3	400000	426589364	1123601157	0.214349	1426649430.794227	1426649430.579869	5.034906509726607e-06	13
0.85	0.3	400000	426589112	1123601157	0.214532	1426649539.785632	1426649539.571091	5.034906509726607e-06	13
0.85	0.3	400000	426588868	1123601158	0.214196	1426649648.332397	1426649648.118192	5.034906509726607e-06	13
0.85	0.4	400000	534694269	1410326839	0.27133	1426649433.507434	1426649433.236095	7.494595278872946e-06	13
0.85	0.4	400000	534694112	1410326842	0.272631	1426649542.430988	1426649542.158348	7.494595278872946e-06	13
0.85	0.4	400000	534693978	1410326838	0.27024	1426649650.96811	1426649650.69786	7.494595278872946e-06	13
0.85	0.5	400000	678526278	1792226044	0.372356	1426649436.583905	1426649436.211541	3.577681677529096e-06	14
0.85	0.5	400000	678527293	1792226052	0.3781	1426649545.440747	1426649545.062638	3.577681677529096e-06	14
0.85	0.5	400000	678525615	1792226047	0.375327	1426649653.970412	1426649653.595076	3.577681677529096e-06	14
0.85	0.6	400000	716409087	1894807719	0.44117	1426649439.948465	1426649439.50724	7.611203232138251e-06	13
0.85	0.6	400000	716369628	1894807536	0.441656	1426649548.751949	1426649548.310283	7.611203232138251e-06	13
0.85	0.6	400000	716369758	1894807535	0.437362	1426649657.279986	1426649656.842614	7.611203232138251e-06	13
0.85	0.7	400000	793830366	2102575729	0.50562	1426649443.640495	1426649443.134865	6.314704476582593e-06	13
0.85	0.7	400000	793827202	2102575730	0.503866	1426649552.38951	1426649551.885634	6.314704476582593e-06	13
0.85	0.7	400000	793827652	2102575734	0.507537	1426649660.928158	1426649660.420612	6.314704476582593e-06	13
0.85	0.8	400000	730924743	1938654290	0.51089	1426649447.551314	1426649447.040414	8.428115301712022e-06	11
0.85	0.8	400000	730922953	1938654295	0.511779	1426649556.253967	1426649555.742179	8.428115301712022e-06	11
0.85	0.8	400000	730923057	1938654291	0.512536	1426649664.785266	1426649664.272721	8.428115301712022e-06	11
0.85	0.2	40000	32969488	86743783	0.015322	1426649337.052658	1426649337.037331	4.560845051756879e-06	14
0.85	0.2	40000	32968971	86743781	0.01528	1426649449.063778	1426649449.048491	4.560845051756879e-06	14
0.85	0.2	40000	32968926	86743782	0.015292	1426649557.750942	1426649557.735644	4.560845051756879e-06	14
0.85	0.3	40000	42641823	112359143	0.020467	1426649338.308068	1426649338.287596	4.74771388592802e-06	13
0.85	0.3	40000	42641693	112359142	0.020426	1426649450.267493	1426649450.24706	4.74771388592802e-06	13
0.85	0.3	40000	42641714	112359142	0.02044	1426649558.948315	1426649558.92787	4.74771388592802e-06	13
0.85	0.4	40000	49456635	130486400	0.024569	1426649339.573397	1426649339.548821	9.10687290257022e-06	12
0.85	0.4	40000	49456615	130486401	0.024609	1426649451.502915	1426649451.4783	9.10687290257022e-06	12
0.85	0.4	40000	49456672	130486401	0.024583	1426649560.181142	1426649560.156554	9.10687290257022e-06	12
0.85	0.5	40000	63225545	167031778	0.032087	1426649340.833445	1426649340.801352	2.330971776528448e-06	13
0.85	0.5	40000	63225548	167031778	0.032077	1426649452.762551	1426649452.730467	2.330971776528448e-06	13
0.85	0.5	40000	63225528	167031778	0.032011	1426649561.440513	1426649561.408495	2.330971776528448e-06	13
0.85	0.6	40000	66156323	175028133	0.034249	1426649342.162932	1426649342.128677	3.467960431130739e-06	12
0.85	0.6	40000	66156403	175028133	0.034308	1426649454.047159	1426649454.012844	3.467960431130739e-06	12
0.85	0.6	40000	66156169	175028132	0.034229	1426649562.710079	1426649562.675844	3.467960431130739e-06	12
0.85	0.7	40000	73311848	194222314	0.038049	1426649343.505362	1426649343.467306	3.627225862826808e-06	12
0.85	0.7	40000	73311620	194222314	0.037972	1426649455.383852	1426649455.345874	3.627225862826808e-06	12
0.85	0.7	40000	73311328	194222314	0.038017	1426649564.008635	1426649563.970612	3.627225862826808e-06	12
0.85	0.8	40000	73117176	193973573	0.037318	1426649344.877375	1426649344.840051	8.696116196961764e-06	11
0.85	0.8	40000	73117207	193973573	0.037314	1426649456.702107	1426649456.664787	8.696116196961764e-06	11
0.85	0.8	40000	73117229	193973573	0.037319	1426649565.327419	1426649565.290094	8.696116196961764e-06	11
0.85	0.2	50000	41018377	107921758	0.019027	1426649346.102072	1426649346.083038	4.724967549923127e-06	14
0.85	0.2	50000	41018400	107921758	0.019019	1426649457.905923	1426649457.886897	4.724967549923127e-06	14
0.85	0.2	50000	41018378	107921758	0.019024	1426649566.520009	1426649566.500978	4.724967549923127e-06	14
0.85	0.3	50000	57421171	151282669	0.027757	1426649347.37844	1426649347.350677	5.332448367266264e-06	14
0.85	0.3	50000	57420894	151282669	0.027788	1426649459.140987	1426649459.113192	5.332448367266264e-06	14
0.85	0.3	50000	57420975	151282669	0.027759	1426649567.74786	1426649567.720094	5.332448367266264e-06	14
0.85	0.4	50000	67001674	176757800	0.033452	1426649348.651367	1426649348.617908	7.54018233378119e-06	13
0.85	0.4	50000	67001803	176757800	0.033412	1426649460.412264	1426649460.378845	7.54018233378119e-06	13
0.85	0.4	50000	67001701	176757800	0.03351	1426649569.010626	1426649568.97711	7.54018233378119e-06	13
0.85	0.5	50000	72820163	192382851	0.037032	1426649349.978961	1426649349.941924	6.383685558847321e-06	12
0.85	0.5	50000	72820092	192382850	0.037058	1426649461.716202	1426649461.679137	6.383685558847321e-06	12
0.85	0.5	50000	72820016	192382851	0.037001	1426649570.312487	1426649570.275479	6.383685558847321e-06	12
0.85	0.6	50000	75664005	200190910	0.038637	1426649351.333935	1426649351.295292	7.570437208632e-06	11
0.85	0.6	50000	75664084	200190911	0.03877	1426649463.034945	1426649462.996168	7.570437208632e-06	11
0.85	0.6	50000	75664143	200190910	0.038693	1426649571.633809	1426649571.59511	7.570437208632e-06	11
0.85	0.7	50000	83746801	221879833	0.043793	1426649352.735703	1426649352.691901	7.967243438073644e-06	11
0.85	0.7	50000	83746968	221879834	0.043799	1426649464.384064	1426649464.340258	7.967243438073644e-06	11
0.85	0.7	50000	83746928	221879834	0.043693	1426649572.977917	1426649572.934219	7.967243438073644e-06	11
0.85	0.8	50000	99774564	264672063	0.052792	1426649354.159217	1426649354.10642	2.792107597295185e-06	12
0.85	0.8	50000	99774452	264672063	0.052847	1426649465.764026	1426649465.711172	2.792107597295185e-06	12
0.85	0.8	50000	99774415	264672063	0.052957	1426649574.347803	1426649574.294839	2.792107597295185e-06	12
0.85	0.2	60000	52557245	138274078	0.024556	1426649355.427809	1426649355.403246	3.479847052304124e-06	15
0.85	0.2	60000	52557207	138274078	0.024552	1426649466.976805	1426649466.952247	3.479847052304124e-06	15
0.85	0.2	60000	52557237	138274077	0.024574	1426649575.565315	1426649575.540735	3.479847052304124e-06	15
0.85	0.3	60000	64098071	168864076	0.0312	1426649356.735734	1426649356.704529	6.639186655436084e-06	13
0.85	0.3	60000	64097951	168864076	0.03124	1426649468.227277	1426649468.196031	6.639186655436084e-06	13
0.85	0.3	60000	64097973	168864076	0.031191	1426649576.813655	1426649576.782458	6.639186655436084e-06	13
0.85	0.4	60000	80367888	212013358	0.04035	1426649358.080025	1426649358.039669	7.936824588053414e-06	13
0.85	0.4	60000	80368011	212013356	0.040366	1426649469.528084	1426649469.487711	7.936824588053414e-06	13
0.85	0.4	60000	80367980	212013357	0.040309	1426649578.104734	1426649578.064419	7.936824588053414e-06	13
0.85	0.5	60000	94722014	250226974	0.04778	1426649359.467801	1426649359.420014	4.301602965244251e-06	13
0.85	0.5	60000	94721940	250226974	0.047744	1426649470.864704	1426649470.816949	4.301602965244251e-06	13
0.85	0.5	60000	94722032	250226975	0.04777	1426649579.439316	1426649579.391539	4.301602965244251e-06	13
0.85	0.6	60000	99289265	262659794	0.051763	1426649360.883947	1426649360.832178	3.281857866288585e-06	12
0.85	0.6	60000	99289059	262659793	0.051901	1426649472.230684	1426649472.178776	3.281857866288585e-06	12
0.85	0.6	60000	99289337	262659794	0.051774	1426649580.799836	1426649580.748055	3.281857866288585e-06	12
0.85	0.7	60000	109935706	291226938	0.057567	1426649362.386355	1426649362.328782	9.412777083888426e-06	12
0.85	0.7	60000	109935872	291226939	0.057542	1426649473.635123	1426649473.577575	9.412777083888426e-06	12
0.85	0.7	60000	109935833	291226939	0.057571	1426649582.196212	1426649582.138635	9.412777083888426e-06	12
0.85	0.8	60000	109628082	290815661	0.058259	1426649363.881296	1426649363.823031	8.7692800444058e-06	11
0.85	0.8	60000	109628273	290815664	0.058484	1426649475.070159	1426649475.011669	8.7692800444058e-06	11
0.85	0.8	60000	109627949	290815661	0.058352	1426649583.618435	1426649583.560076	8.7692800444058e-06	11
0.85	0.2	70000	61373768	161458898	0.028703	1426649365.171775	1426649365.143065	3.892566932769274e-06	15
0.85	0.2	70000	61373579	161458897	0.028697	1426649476.306035	1426649476.277332	3.892566932769274e-06	15
0.85	0.2	70000	61373540	161458898	0.028746	1426649584.848188	1426649584.819436	3.892566932769274e-06	15
0.85	0.3	70000	74451883	196150787	0.035795	1426649366.526825	1426649366.491024	5.876925948998882e-06	13
0.85	0.3	70000	74451779	196150787	0.035818	1426649477.588125	1426649477.5523	5.876925948998882e-06	13
0.85	0.3	70000	74451899	196150787	0.0358	1426649586.12434	1426649586.088533	5.876925948998882e-06	13
0.85	0.4	70000	86477819	228134777	0.043294	1426649367.887415	1426649367.844115	9.713071399108031e-06	12
0.85	0.4	70000	86478075	228134778	0.043282	1426649478.916237	1426649478.872949	9.713071399108031e-06	12
0.85	0.4	70000	86477981	228134778	0.043324	1426649587.447686	1426649587.404355	9.713071399108031e-06	12
0.85	0.5	70000	110254112	291264193	0.056589	1426649369.372149	1426649369.315553	3.306021701250174e-06	13
0.85	0.5	70000	110254437	291264193	0.056538	1426649480.299127	1426649480.242582	3.306021701250174e-06	13
0.85	0.5	70000	110254185	291264193	0.056584	1426649588.825266	1426649588.768675	3.306021701250174e-06	13
0.85	0.6	70000	125461151	331883390	0.065318	1426649370.842479	1426649370.777154	2.289780816084718e-06	13
0.85	0.6	70000	125461301	331883392	0.065579	1426649481.712981	1426649481.647395	2.289780816084718e-06	13
0.85	0.6	70000	125461040	331883390	0.065289	1426649590.242521	1426649590.177225	2.289780816084718e-06	13
0.85	0.7	70000	117359982	310909462	0.061524	1426649372.349838	1426649372.288308	6.879366208097875e-06	11
0.85	0.7	70000	117360252	310909462	0.06144	1426649483.163095	1426649483.101641	6.879366208097875e-06	11
0.85	0.7	70000	117360073	310909462	0.061589	1426649591.693889	1426649591.632293	6.879366208097875e-06	11
0.85	0.8	70000	127574400	338442099	0.068172	1426649373.880362	1426649373.812184	8.193270557282396e-06	11
0.85	0.8	70000	127574508	338442099	0.06804300000000001	1426649484.656622	1426649484.588572	8.193270557282396e-06	11
0.85	0.8	70000	127574237	338442099	0.068476	1426649593.176727	1426649593.108244	8.193270557282396e-06	11
0.85	0.2	80000	60835396	160045351	0.028534	1426649375.17949	1426649375.150949	9.926291114866093e-06	13
0.85	0.2	80000	60835392	160045351	0.028553	1426649485.91467	1426649485.88611	9.926291114866093e-06	13
0.85	0.2	80000	60835402	160045352	0.028568	1426649594.430956	1426649594.402382	9.926291114866093e-06	13
0.85	0.3	80000	85395410	224957253	0.041276	1426649376.541505	1426649376.500223	5.104924993583747e-06	13
0.85	0.3	80000	85395155	224957253	0.04132	1426649487.224186	1426649487.18286	5.104924993583747e-06	13
0.85	0.3	80000	85395247	224957252	0.041331	1426649595.735492	1426649595.694154	5.104924993583747e-06	13
0.85	0.4	80000	98673122	260309918	0.048902	1426649377.940258	1426649377.89135	8.377226173402977e-06	12
0.85	0.4	80000	98673257	260309918	0.048809	1426649488.598472	1426649488.549657	8.377226173402977e-06	12
0.85	0.4	80000	98673266	260309917	0.048892	1426649597.096944	1426649597.048045	8.377226173402977e-06	12
0.85	0.5	80000	116260807	307138265	0.059561	1426649379.416411	1426649379.356843	4.930692606464404e-06	12
0.85	0.5	80000	116260968	307138266	0.059588	1426649490.011788	1426649489.952193	4.930692606464404e-06	12
0.85	0.5	80000	116260813	307138264	0.059704	1426649598.510557	1426649598.450846	4.930692606464404e-06	12
0.85	0.6	80000	120942661	319962707	0.06347700000000001	1426649380.923106	1426649380.859622	7.571138373035987e-06	11
0.85	0.6	80000	120942911	319962707	0.06344900000000001	1426649491.469066	1426649491.40561	7.571138373035987e-06	11
0.85	0.6	80000	120942688	319962706	0.063471	1426649599.965735	1426649599.902257	7.571138373035987e-06	11
0.85	0.7	80000	146365491	387734382	0.077996	1426649382.494687	1426649382.416684	1.857179967266217e-06	12
0.85	0.7	80000	146365725	387734380	0.077668	1426649492.972929	1426649492.895254	1.857179967266217e-06	12
0.85	0.7	80000	146366726	387734389	0.078267	1426649601.47305	1426649601.394776	1.857179967266217e-06	12
0.85	0.8	80000	146460344	388487115	0.077236	1426649384.098098	1426649384.020855	4.029112515896094e-06	11
0.85	0.8	80000	146460803	388487115	0.077261	1426649494.523879	1426649494.446611	4.029112515896094e-06	11
0.85	0.8	80000	146462020	388487128	0.077419	1426649603.020407	1426649602.94298	4.029112515896094e-06	11
