module:input:0:dim1	module:input:0:dim2	module:input:0:dim3	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:rssUsage	module:output:0:vmUsage
1000	1000	1000	20.4481	1425373415.133586	1425373394.685391	20840	23576
1000	1000	1000	20.445264	1425378135.176934	1425378114.731576	20840	23576
110	110	110	0.027764	1425378060.690945	1425378060.663169	1440	512
90	90	90	0.01537	1425378058.413476	1425378058.398096	1408	316
90	90	90	0.015565	1425382778.977741	1425382778.962165	1408	316
110	110	110	0.027745	1425382781.2665	1425382781.238743	1440	512
120	120	120	0.03613	1425373341.794145	1425373341.758003	1556	564
120	120	120	0.035999	1425378061.83113	1425378061.79512	1556	564
120	120	120	0.0361	1425382782.418158	1425382782.382047	1556	564
150	150	150	0.069659	1425373342.95909	1425373342.88942	1748	656
150	150	150	0.06959799999999999	1425378063.011825	1425378062.942216	1748	656
150	150	150	0.06968199999999999	1425382783.604301	1425382783.534607	1748	656
15	15	15	0.0004	1425373324.949206	1425373324.948795	1224	128
15	15	15	0.000407	1425378045.009428	1425378045.009011	1224	128
1000	1000	1000	20.448517	1425382855.744339	1425382835.295721	20840	23576
15	15	15	0.000396	1425382765.631753	1425382765.631346	1224	128
2000	2000	2000	165.99955	1425373582.533995	1425373416.534351	91148	93884
2000	2000	2000	165.85547	1425378302.416464	1425378136.560901	91148	93884
2000	2000	2000	165.877428	1425383023.007653	1425382857.130131	91148	93884
200	200	200	0.164266	1425373344.253801	1425373344.089524	2168	1076
200	200	200	0.164509	1425378064.296211	1425378064.131691	2168	1076
200	200	200	0.164346	1425382784.876363	1425382784.712006	2168	1076
20	20	20	0.000505	1425373326.070543	1425373326.070027	1228	128
20	20	20	0.000495	1425378046.126831	1425378046.126325	1228	128
20	20	20	0.00052	1425382766.727641	1425382766.72711	1228	128
100	100	100	0.020959	1425373339.493892	1425373339.472922	1404	464
25	25	25	0.00067	1425373327.187793	1425373327.187112	1236	128
25	25	25	0.000656	1425378047.241753	1425378047.241085	1236	128
25	25	25	0.000679	1425382767.841548	1425382767.840857	1236	128
2	2	2	0.003917	1425373319.336148	1425373319.332217	1220	128
2	2	2	0.000328	1425378039.409939	1425378039.409599	1220	128
2	2	2	0.000328	1425382760.084167	1425382760.083827	1220	128
3000	3000	3000	556.95514	1425374141.319712	1425373584.364478	208340	211076
3000	3000	3000	557.0288410000001	1425378861.260337	1425378304.231398	208340	211076
3000	3000	3000	556.979147	1425383581.804349	1425383024.825104	208340	211076
300	300	300	0.5525949999999999	1425373345.920914	1425373345.368308	3332	2240
100	100	100	0.020957	1425378059.548599	1425378059.527632	1404	464
300	300	300	0.552559	1425378065.971876	1425378065.419306	3332	2240
300	300	300	0.5530620000000001	1425382786.543322	1425382785.990249	3332	2240
30	30	30	0.000928	1425373328.305121	1425373328.304183	1240	248
30	30	30	0.000909	1425378048.363097	1425378048.362177	1240	248
30	30	30	0.000929	1425382768.942066	1425382768.941125	1240	248
35	35	35	0.001288	1425373329.424408	1425373329.42311	1248	256
35	35	35	0.001233	1425378049.479494	1425378049.47825	1248	256
35	35	35	0.001283	1425382770.043372	1425382770.042077	1248	256
4000	4000	4000	1317.22926	1425375460.905939	1425374143.676621	372688	375140
4000	4000	4000	1317.344741	1425380180.948702	1425378863.603903	372688	375140
100	100	100	0.0212	1425382780.115405	1425382780.094194	1404	464
4000	4000	4000	1317.452542	1425384901.648071	1425383584.195472	372688	375140
400	400	400	1.310354	1425373348.353919	1425373347.043552	4976	3884
400	400	400	1.30903	1425378068.39369	1425378067.084649	4976	3884
400	400	400	1.309029	1425382788.963302	1425382787.654261	4976	3884
40	40	40	0.001667	1425373330.540925	1425373330.539246	1252	268
40	40	40	0.001675	1425378050.591641	1425378050.589955	1252	268
40	40	40	0.001721	1425382771.159803	1425382771.158071	1252	268
45	45	45	0.002292	1425373332.7637	1425373332.761396	1252	276
45	45	45	0.002312	1425378052.823387	1425378052.821064	1252	276
45	45	45	0.002225	1425382773.371717	1425382773.369481	1252	276
10	10	10	0.000348	1425373323.845083	1425373323.844724	1220	128
4	4	4	0.00033	1425373320.473624	1425373320.473282	1220	128
4	4	4	0.000352	1425378040.520621	1425378040.520259	1220	128
4	4	4	0.000329	1425382761.186009	1425382761.185669	1220	128
5000	5000	5000	2573.894652	1425378037.872188	1425375463.977479	583624	586076
5000	5000	5000	2574.496245	1425382758.518115	1425380184.021813	583624	586076
5000	5000	5000	2574.032961	1425387478.746305	1425384904.71329	583624	586076
500	500	500	2.562406	1425373352.058421	1425373349.495922	3260	5996
500	500	500	2.561809	1425378072.089919	1425378069.52802	3260	5996
500	500	500	2.562492	1425382792.648797	1425382790.086213	3260	5996
50	50	50	0.002933	1425373333.837551	1425373333.834606	1248	288
10	10	10	0.000356	1425378043.8694	1425378043.869034	1220	128
50	50	50	0.002929	1425378053.899934	1425378053.896994	1248	288
50	50	50	0.002959	1425382774.464852	1425382774.461881	1248	288
600	600	600	4.429961	1425373357.61399	1425373353.183937	5840	8576
600	600	600	4.427755	1425378077.645429	1425378073.217582	5840	8576
600	600	600	4.428694	1425382798.236111	1425382793.807326	5840	8576
60	60	60	0.004935	1425373334.947868	1425373334.942922	1252	312
60	60	60	0.004811	1425378055.003799	1425378054.998977	1252	312
60	60	60	0.004929	1425382775.585018	1425382775.580078	1252	312
6	6	6	0.000331	1425373321.579201	1425373321.578859	1220	128
6	6	6	0.00033	1425378041.633177	1425378041.632837	1220	128
10	10	10	0.000349	1425382764.534832	1425382764.534473	1220	128
6	6	6	0.000331	1425382762.298419	1425382762.298077	1220	128
700	700	700	7.027484	1425373365.800794	1425373358.773218	8888	11624
700	700	700	7.025719	1425378085.800806	1425378078.774995	8888	11624
700	700	700	7.026236	1425382806.4007	1425382799.374366	8888	11624
70	70	70	0.007422	1425373336.069088	1425373336.061654	1332	344
70	70	70	0.007416	1425378056.133235	1425378056.125808	1332	344
70	70	70	0.007425	1425382776.712342	1425382776.704905	1332	344
800	800	800	10.483664	1425373377.432655	1425373366.948897	12404	15140
800	800	800	10.480469	1425378097.426162	1425378086.945601	12404	15140
800	800	800	10.484041	1425382818.02918	1425382807.545047	12404	15140
110	110	110	0.028008	1425373340.636052	1425373340.608032	1440	512
80	80	80	0.010928	1425373337.209691	1425373337.198752	1368	276
80	80	80	0.010899	1425378057.276239	1425378057.265329	1368	276
80	80	80	0.011133	1425382777.843269	1425382777.832126	1368	276
8	8	8	0.000347	1425373322.717356	1425373322.716998	1220	128
8	8	8	0.000372	1425378042.752455	1425378042.752071	1220	128
8	8	8	0.000337	1425382763.413222	1425382763.412875	1220	128
900	900	900	14.909236	1425373393.519883	1425373378.610554	16388	19124
900	900	900	14.904704	1425378113.490991	1425378098.586192	16388	19124
900	900	900	14.907284	1425382834.102866	1425382819.195487	16388	19124
90	90	90	0.015356	1425373338.341073	1425373338.325706	1408	316
