module:input:0:probDimension	module:pub_input::blockSize	module:pub_input::mem_max	module:pub_input::nnz	module:pub_input::t_max	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:rssUsage	module:output:0:vmUsage
524288	1	10000	1000	5	45.949973	1425332953.267379	1425332907.31739	3064	748
524288	1	10000	1000	5	46.022658	1425335742.544883	1425335696.522209	3064	748
131072	1	10000	100	5	3.9541	1425335517.563956	1425335513.60984	3104	744
131072	1	50000	500	5	20.138006	1425336279.059108	1425336258.921085	3064	748
131072	1	50000	500	5	21.946466	1425339076.938312	1425339054.99183	3064	748
524288	1	5000	500	5	21.954013	1425332141.67494	1425332119.72091	3060	744
524288	1	5000	500	5	20.16453	1425334937.547479	1425334917.382933	3060	744
524288	1	5000	500	5	20.104272	1425337726.354556	1425337706.250269	3060	744
131072	1	10000	50	5	1.98616	1425332676.627244	1425332674.641067	972	232
131072	1	10000	50	5	1.791479	1425335466.62375	1425335464.832249	740	0
131072	1	10000	50	5	1.794944	1425338262.529589	1425338260.734628	2364	0
1048576	1	1000	50	5	1.785464	1425331604.013303	1425331602.227822	2360	0
1048576	1	1000	50	5	1.781866	1425334401.181092	1425334399.399209	2364	0
131072	1	10000	100	5	3.947656	1425338313.720473	1425338309.772801	3104	744
1048576	1	1000	50	5	1.79729	1425337190.457497	1425337188.660092	-3100	0
131072	1	100	50	5	1.783318	1425331223.949518	1425331222.166183	2360	0
131072	1	100	50	5	1.98784	1425334021.501026	1425334019.513075	-2868	232
131072	1	100	50	5	1.792447	1425336811.132035	1425336809.339473	-3100	0
131072	1	50000	50	5	1.981979	1425333352.11344	1425333350.131444	2620	232
131072	1	50000	50	5	1.804748	1425336140.316624	1425336138.511766	-3100	0
131072	1	50000	50	5	1.977124	1425338935.20802	1425338933.23088	972	232
8388608	1	5000	50	5	1.787217	1425332000.389207	1425331998.601974	2368	0
8388608	1	5000	50	5	1.785343	1425334798.553435	1425334796.768076	740	0
8388608	1	5000	50	5	1.782937	1425337587.103866	1425337585.320913	2364	0
524288	1	1000	100	5	3.987651	1425331654.829479	1425331650.841811	3108	744
524288	1	500	50	5	1.78574	1425331343.548843	1425331341.763087	2360	0
524288	1	500	50	5	1.782174	1425334141.614318	1425334139.832128	2364	0
524288	1	500	50	5	1.796108	1425336930.641949	1425336928.84573	-3100	0
8388608	1	10000	60	5	2.13685	1425332684.485131	1425332682.348266	2360	0
8388608	1	10000	60	5	2.136805	1425335474.45533	1425335472.318508	2360	0
8388608	1	10000	60	5	2.37097	1425338270.571082	1425338268.199999	-2872	232
1048576	1	1000	60	5	2.137241	1425331611.822921	1425331609.685664	2364	0
1048576	1	1000	60	5	2.137591	1425334409.032772	1425334406.895164	2348	0
1048576	1	1000	60	5	2.136704	1425337198.277604	1425337196.140884	2364	0
131072	1	100	60	5	2.365516	1425331231.987148	1425331229.62152	-2868	232
524288	1	1000	100	5	3.615378	1425334451.915858	1425334448.300464	3104	744
131072	1	100	60	5	2.353696	1425334029.531856	1425334027.178143	972	232
131072	1	100	60	5	2.122973	1425336818.926233	1425336816.803243	740	0
131072	1	50000	60	5	2.141674	1425333359.922184	1425333357.780397	-3136	0
131072	1	50000	60	5	2.35942	1425336148.371333	1425336146.011897	2596	232
131072	1	50000	60	5	2.355678	1425338943.258852	1425338940.903156	2596	232
4194304	1	5000	60	5	2.133661	1425332008.198695	1425332006.065018	740	0
4194304	1	5000	60	5	2.133887	1425334806.366425	1425334804.232523	740	0
4194304	1	5000	60	5	2.133352	1425337594.941931	1425337592.808563	2360	0
524288	1	500	60	5	2.133179	1425331351.375845	1425331349.24265	2364	0
524288	1	500	60	5	2.379469	1425334149.665948	1425334147.286368	-2868	232
524288	1	1000	100	5	3.992376	1425337241.693549	1425337237.70106	-2356	744
524288	1	500	60	5	2.359815	1425336938.687827	1425336936.327995	2596	232
131072	1	10000	70	5	2.748052	1425332693.650725	1425332690.902658	3104	744
131072	1	10000	70	5	2.743037	1425335483.609712	1425335480.86666	3108	744
131072	1	10000	70	5	2.752777	1425338279.757717	1425338277.004925	3104	744
1048576	1	1000	70	5	2.521531	1425331620.78915	1425331618.267603	3132	744
1048576	1	1000	70	5	2.785403	1425334418.239007	1425334415.453587	3108	744
1048576	1	1000	70	5	2.528128	1425337207.239699	1425337204.711555	3132	744
131072	1	50000	70	5	2.480383	1425333368.849911	1425333366.36951	3104	744
131072	1	50000	70	5	2.480528	1425336157.283602	1425336154.803057	3112	744
131072	1	50000	70	5	2.754908	1425338952.414725	1425338949.659706	-2356	744
131072	1	50000	100	5	3.568892	1425333403.072852	1425333399.503943	3092	744
4194304	1	5000	70	5	2.785601	1425332017.414251	1425332014.628634	3108	744
4194304	1	5000	70	5	2.518921	1425334815.334334	1425334812.815397	3092	744
4194304	1	5000	70	5	2.780292	1425337604.155963	1425337601.375655	3108	744
524288	1	500	70	5	2.787385	1425331360.598223	1425331357.810822	3132	744
524288	1	500	70	5	2.520184	1425334158.616041	1425334156.09584	3104	744
524288	1	500	70	5	2.783912	1425336947.898329	1425336945.114398	3112	744
131072	1	10000	80	5	2.855638	1425332703.726217	1425332700.870563	3108	744
131072	1	10000	80	5	2.853999	1425335493.666638	1425335490.812622	3108	744
131072	1	10000	80	5	2.85131	1425338289.839615	1425338286.988288	3108	744
1048576	1	1000	80	5	2.894112	1425331630.895079	1425331628.000949	632	744
131072	1	50000	100	5	3.943785	1425336191.179975	1425336187.236173	3108	744
1048576	1	1000	80	5	2.894318	1425334428.346466	1425334425.452132	3108	744
1048576	1	1000	80	5	2.898277	1425337217.367678	1425337214.469383	3092	744
131072	1	50000	80	5	3.155025	1425333379.213798	1425333376.058756	3108	744
131072	1	50000	80	5	2.852746	1425336167.346734	1425336164.493972	3092	744
131072	1	50000	80	5	3.162772	1425338962.788655	1425338959.625865	3092	744
4194304	1	5000	80	5	2.892838	1425332027.547458	1425332024.654605	3092	744
4194304	1	5000	80	5	2.889228	1425334825.45695	1425334822.567706	3104	744
4194304	1	5000	80	5	2.893961	1425337614.258553	1425337611.364575	3108	744
524288	1	500	80	5	2.889444	1425331370.718623	1425331367.829163	3092	744
524288	1	500	80	5	2.894787	1425334168.725996	1425334165.831193	3108	744
131072	1	50000	100	5	3.576347	1425338986.596932	1425338983.020569	3108	744
524288	1	500	80	5	3.191877	1425336958.28256	1425336955.090667	3132	744
131072	1	10000	90	5	3.210396	1425332714.894549	1425332711.684137	3104	744
131072	1	10000	90	5	3.210745	1425335504.855496	1425335501.644736	3108	744
131072	1	10000	90	5	3.206017	1425338301.034093	1425338297.828061	3108	744
524288	1	1000	90	5	3.254568	1425331642.113713	1425331638.859128	3112	744
524288	1	1000	90	5	3.244659	1425334439.547508	1425334436.302833	3108	744
524288	1	1000	90	5	3.580264	1425337228.955938	1425337225.375657	3092	744
131072	1	50000	90	5	3.56626	1425333390.749901	1425333387.183531	-2356	744
131072	1	50000	90	5	3.207026	1425336178.501147	1425336175.294105	3092	744
131072	1	50000	90	5	3.551358	1425338974.298176	1425338970.746801	3112	744
4194304	1	5000	100	5	3.610374	1425332051.099176	1425332047.488787	3104	744
4194304	1	5000	90	5	3.250771	1425332038.764919	1425332035.514132	3092	744
4194304	1	5000	90	5	3.248672	1425334836.704553	1425334833.455864	3104	744
4194304	1	5000	90	5	3.249779	1425337625.54659	1425337622.296794	3108	744
262144	1	500	90	5	3.589334	1425331382.294275	1425331378.704925	1660	744
262144	1	500	90	5	3.583447	1425334180.26854	1425334176.685077	3108	744
262144	1	500	90	5	3.591279	1425336969.836667	1425336966.245372	3108	744
524288	2	10000	1000	5	16.522333	1425333082.768271	1425333066.245921	2816	488
524288	2	10000	1000	5	16.516583	1425335871.581829	1425335855.06523	2804	488
524288	2	10000	1000	5	18.763749	1425338668.1299	1425338649.366134	2804	488
131072	2	50000	1000	5	16.504323	1425333752.979371	1425333736.475033	2820	492
4194304	1	5000	100	5	3.602762	1425334849.027001	1425334845.424223	3092	744
131072	2	50000	1000	5	18.781181	1425336542.062366	1425336523.281168	2808	492
131072	2	50000	1000	5	16.526732	1425339339.328212	1425339322.801465	2808	492
262144	2	5000	1000	5	16.516859	1425332406.841683	1425332390.324808	2804	488
262144	2	5000	1000	5	16.537206	1425335197.84953	1425335181.312307	2804	488
262144	2	5000	1000	5	18.790807	1425337994.72436	1425337975.933537	2804	488
8388608	2	10000	100	5	1.528477	1425332991.149491	1425332989.620997	2364	0
8388608	2	10000	100	5	1.539031	1425335779.814253	1425335778.275114	-3104	0
8388608	2	10000	100	5	1.540346	1425338575.352724	1425338573.81226	-3104	0
524288	2	1000	100	5	1.540133	1425331783.959078	1425331782.418836	-3100	0
524288	2	1000	100	5	1.764223	1425334581.086701	1425334579.322462	2600	232
524288	1	10000	1000	5	46.084349	1425338537.815725	1425338491.73136	3064	748
4194304	1	5000	100	5	3.603235	1425337637.886499	1425337634.283247	3104	744
524288	2	1000	100	5	1.542509	1425337370.34619	1425337368.803566	-3104	0
131072	2	50000	100	5	1.537334	1425333662.590985	1425333661.053635	2364	0
131072	2	50000	100	5	1.549568	1425336449.271841	1425336447.722153	-3136	0
131072	2	50000	100	5	1.536471	1425339247.156267	1425339245.619779	2368	0
4194304	2	5000	100	5	1.527946	1425332315.822626	1425332314.294663	2364	0
4194304	2	5000	100	5	1.52725	1425335107.347331	1425335105.820065	2360	0
4194304	2	5000	100	5	1.777463	1425337900.718666	1425337898.941091	-2872	232
262144	2	500	100	5	1.528732	1425331459.463999	1425331457.935251	2388	0
262144	2	500	100	5	1.765598	1425334257.348778	1425334255.583164	2592	232
262144	2	500	100	5	1.766614	1425337046.552868	1425337044.786239	2620	232
262144	1	500	100	5	3.610155	1425331394.640081	1425331391.02991	3112	744
4194304	2	10000	200	5	3.074747	1425333002.039906	1425332998.965143	2388	0
4194304	2	10000	200	5	3.07602	1425335790.732882	1425335787.656845	2360	0
4194304	2	10000	200	5	3.073277	1425338586.243136	1425338583.169842	2360	0
262144	2	1000	200	5	3.074687	1425331794.855286	1425331791.780582	2360	0
262144	2	1000	200	5	3.075664	1425334591.999023	1425334588.923344	2360	0
262144	2	1000	200	5	3.076214	1425337381.243468	1425337378.167237	2360	0
131072	2	50000	200	5	3.053572	1425333673.474637	1425333670.421046	2368	0
131072	2	50000	200	5	3.055076	1425336460.165422	1425336457.110329	2364	0
131072	2	50000	200	5	3.526894	1425339258.507436	1425339254.980524	2592	232
2097152	2	5000	200	5	3.548654	1425332327.23638	1425332323.68771	2580	232
262144	1	500	100	5	3.98475	1425334192.976699	1425334188.991933	3092	744
2097152	2	5000	200	5	3.070226	1425335118.232112	1425335115.161871	2360	0
2097152	2	5000	200	5	3.075991	1425337911.633436	1425337908.557429	2348	0
131072	2	500	200	5	3.54743	1425331470.836888	1425331467.289443	2592	232
131072	2	500	200	5	3.073587	1425334268.253175	1425334265.179571	2360	0
131072	2	500	200	5	3.079634	1425337057.489828	1425337054.410178	2360	0
33554432	2	10000	20	5	0.379775	1425332955.591707	1425332955.211915	972	232
33554432	2	10000	20	5	0.330429	1425335744.864205	1425335744.533759	740	0
33554432	2	10000	20	5	0.330727	1425338540.083712	1425338539.752969	740	0
2097152	2	1000	20	5	0.379223	1425331748.653022	1425331748.273783	972	232
2097152	2	1000	20	5	0.379114	1425334545.633638	1425334545.254508	972	232
262144	1	500	100	5	3.988006	1425336982.546724	1425336978.558701	3104	744
2097152	2	1000	20	5	0.379612	1425337334.862021	1425337334.482393	972	232
262144	2	100	20	5	0.379725	1425331241.891195	1425331241.511454	972	232
262144	2	100	20	5	0.376493	1425334039.551919	1425334039.17541	972	232
262144	2	100	20	5	0.328771	1425336828.890815	1425336828.562028	740	0
131072	2	50000	20	5	0.330659	1425333627.603897	1425333627.273221	740	0
131072	2	50000	20	5	0.376079	1425336414.234408	1425336413.858313	972	232
131072	2	50000	20	5	0.330892	1425339212.131957	1425339211.801048	740	0
16777216	2	5000	20	5	0.375385	1425332280.525888	1425332280.150487	972	232
16777216	2	5000	20	5	0.330807	1425335072.55804	1425335072.227216	740	0
16777216	2	5000	20	5	0.330475	1425337865.012753	1425337864.682256	740	0
131072	1	10000	200	5	7.395918	1425332751.523268	1425332744.127334	3092	744
1048576	2	500	20	5	0.376028	1425331424.094492	1425331423.718448	972	232
1048576	2	500	20	5	0.330554	1425334221.71253	1425334221.381959	740	0
1048576	2	500	20	5	0.37965	1425337011.368154	1425337010.988488	972	232
16777216	2	10000	30	5	0.549974	1425332958.335385	1425332957.785394	968	228
16777216	2	10000	30	5	0.475394	1425335747.531038	1425335747.055627	740	0
16777216	2	10000	30	5	0.549326	1425338542.845207	1425338542.295865	968	228
2097152	2	1000	30	5	0.544233	1425331751.408455	1425331750.864206	968	228
2097152	2	1000	30	5	0.475875	1425334548.360097	1425334547.884206	740	0
2097152	2	1000	30	5	0.549265	1425337337.62756	1425337337.078279	968	228
262144	2	100	30	5	0.549315	1425331244.633693	1425331244.084362	972	232
131072	1	10000	200	5	8.134423	1425335542.600913	1425335534.466473	1612	744
262144	2	100	30	5	0.475438	1425334042.215255	1425334041.739801	740	0
262144	2	100	30	5	0.546576	1425336831.649142	1425336831.102549	972	232
131072	2	50000	30	5	0.550088	1425333630.377558	1425333629.827453	972	232
131072	2	50000	30	5	0.476604	1425336416.923746	1425336416.44712	740	0
131072	2	50000	30	5	0.550482	1425339214.888521	1425339214.338022	972	232
8388608	2	5000	30	5	0.5477959999999999	1425332283.24717	1425332282.699357	968	228
8388608	2	5000	30	5	0.472079	1425335075.214609	1425335074.742514	740	0
8388608	2	5000	30	5	0.475788	1425337867.713214	1425337867.23741	740	0
1048576	2	500	30	5	0.475715	1425331426.768059	1425331426.292328	740	0
1048576	2	500	30	5	0.475793	1425334224.397948	1425334223.922139	740	0
131072	1	10000	200	5	7.404781	1425338338.004628	1425338330.59983	3092	744
1048576	2	500	30	5	0.476026	1425337014.044921	1425337013.568878	740	0
16777216	2	10000	40	5	0.634199	1425332961.505141	1425332960.870925	740	0
16777216	2	10000	40	5	0.638747	1425335750.724859	1425335750.086095	2368	0
16777216	2	10000	40	5	0.730799	1425338546.117897	1425338545.387081	968	228
2097152	2	1000	40	5	0.633603	1425331754.566863	1425331753.933245	740	0
2097152	2	1000	40	5	0.73075	1425334551.616965	1425334550.886198	968	228
2097152	2	1000	40	5	0.731191	1425337340.914281	1425337340.183074	968	228
131072	2	100	40	5	0.730706	1425331247.891652	1425331247.160929	968	228
131072	2	100	40	5	0.633618	1425334045.377793	1425334044.744158	740	0
131072	2	100	40	5	0.633661	1425336834.80315	1425336834.169472	2388	0
262144	1	1000	200	5	8.154601	1425331679.867302	1425331671.712685	3092	744
131072	2	50000	40	5	0.633667	1425333633.541099	1425333632.907415	740	0
131072	2	50000	40	5	0.649354	1425336420.109912	1425336419.460445	-3100	0
131072	2	50000	40	5	0.639882	1425339218.055812	1425339217.415913	740	0
8388608	2	5000	40	5	0.638931	1425332286.397139	1425332285.75819	740	0
8388608	2	5000	40	5	0.731382	1425335078.458484	1425335077.727085	968	228
8388608	2	5000	40	5	0.637976	1425337870.896324	1425337870.258332	740	0
1048576	2	500	40	5	0.749057	1425331430.034937	1425331429.285772	-2876	228
1048576	2	500	40	5	0.7326279999999999	1425334227.645465	1425334226.91282	968	228
1048576	2	500	40	5	0.633837	1425337017.20476	1425337016.570903	740	0
1048576	2	10000	500	5	9.097417999999999	1425333029.510293	1425333020.412859	2848	488
262144	1	1000	200	5	8.138878999999999	1425334476.885226	1425334468.746331	3104	744
1048576	2	10000	500	5	9.097495	1425335818.224598	1425335809.127086	2836	488
1048576	2	10000	500	5	7.942207	1425338612.574455	1425338604.632232	2836	488
131072	2	1000	500	5	9.106555999999999	1425331822.344636	1425331813.238064	2836	488
131072	2	1000	500	5	9.113797999999999	1425334619.546916	1425334610.433101	2836	488
131072	2	1000	500	5	9.111017	1425337408.763743	1425337399.652709	2836	488
131072	2	50000	500	5	7.930557	1425333699.78685	1425333691.856277	2848	488
131072	2	50000	500	5	7.931572	1425336486.483227	1425336478.55164	2836	488
131072	2	50000	500	5	9.09051	1425339286.012246	1425339276.92172	2848	488
524288	2	5000	500	5	7.948999	1425332353.586947	1425332345.637932	2836	488
524288	2	5000	500	5	7.945911	1425335144.558593	1425335136.612665	2848	488
262144	1	1000	200	5	7.419447	1425337265.984457	1425337258.564993	3104	744
524288	2	5000	500	5	9.111799	1425337939.170115	1425337930.0583	2836	488
16777216	2	10000	50	5	0.775026	1425332965.124362	1425332964.349319	740	0
16777216	2	10000	50	5	0.774429	1425335754.295367	1425335753.520921	740	0
16777216	2	10000	50	5	0.909032	1425338549.885385	1425338548.976239	-2908	228
1048576	2	1000	50	5	0.907465	1425331758.316338	1425331757.408764	-2872	228
1048576	2	1000	50	5	0.774363	1425334555.216568	1425334554.442188	740	0
1048576	2	1000	50	5	0.896002	1425337344.663189	1425337343.767171	968	228
131072	2	100	50	5	0.778258	1425331251.492074	1425331250.713799	740	0
131072	2	100	50	5	0.794067	1425334049.001502	1425334048.207322	-3100	0
131072	2	100	50	5	0.778389	1425336838.393522	1425336837.615117	740	0
131072	1	50000	1000	5	42.519041	1425333625.354559	1425333582.835502	3068	752
131072	1	50000	200	5	7.384048	1425333427.319863	1425333419.935799	3104	744
131072	2	50000	50	5	0.772818	1425333637.148698	1425333636.375863	740	0
131072	2	50000	50	5	0.7725610000000001	1425336423.713546	1425336422.940968	740	0
131072	2	50000	50	5	0.772968	1425339221.659778	1425339220.886793	740	0
8388608	2	5000	50	5	0.785845	1425332290.040635	1425332289.25468	-3104	0
8388608	2	5000	50	5	0.775008	1425335082.059727	1425335081.284703	740	0
8388608	2	5000	50	5	0.895554	1425337874.628049	1425337873.732478	968	228
524288	2	500	50	5	0.895772	1425331433.769379	1425331432.873592	968	228
524288	2	500	50	5	0.774796	1425334231.273217	1425334230.498405	740	0
524288	2	500	50	5	0.774853	1425337020.818851	1425337020.043981	2368	0
8388608	2	10000	60	5	1.072255	1425332969.355414	1425332968.283143	972	232
131072	1	50000	200	5	7.387087	1425336215.423266	1425336208.036162	3104	744
8388608	2	10000	60	5	0.9272550000000001	1425335758.383569	1425335757.456298	740	0
8388608	2	10000	60	5	0.929017	1425338553.991734	1425338553.062701	2360	0
1048576	2	1000	60	5	0.926478	1425331762.403224	1425331761.476729	740	0
1048576	2	1000	60	5	0.927212	1425334559.321191	1425334558.393962	740	0
1048576	2	1000	60	5	1.072103	1425337348.925767	1425337347.853647	972	232
131072	2	100	60	5	0.925498	1425331255.580203	1425331254.654689	740	0
131072	2	100	60	5	1.074103	1425334053.229277	1425334052.155157	972	232
131072	2	100	60	5	0.926581	1425336842.48036	1425336841.553763	740	0
131072	2	50000	60	5	1.078399	1425333641.404427	1425333640.326011	2600	232
131072	2	50000	60	5	0.932267	1425336427.839895	1425336426.907612	740	0
131072	1	50000	200	5	8.137029999999999	1425339011.612262	1425339003.475214	3092	744
131072	2	50000	60	5	1.077625	1425339225.920131	1425339224.842489	972	232
4194304	2	5000	60	5	0.927246	1425332294.112617	1425332293.185355	740	0
4194304	2	5000	60	5	0.927361	1425335086.151583	1425335085.224205	740	0
4194304	2	5000	60	5	1.074905	1425337878.897503	1425337877.822581	972	232
524288	2	500	60	5	0.926835	1425331437.875816	1425331436.948965	740	0
524288	2	500	60	5	1.07218	1425334235.536028	1425334234.463831	972	232
524288	2	500	60	5	0.927241	1425337024.926512	1425337023.999255	740	0
8388608	2	10000	70	5	1.254131	1425332974.131366	1425332972.877218	972	232
8388608	2	10000	70	5	1.081932	1425335762.986851	1425335761.904903	740	0
8388608	2	10000	70	5	1.082365	1425338558.578749	1425338557.496364	740	0
2097152	1	5000	200	5	8.164398	1425332076.145883	1425332067.981468	3104	744
1048576	2	1000	70	5	1.082485	1425331766.975103	1425331765.892601	740	0
1048576	2	1000	70	5	1.252811	1425334564.062219	1425334562.809392	972	232
1048576	2	1000	70	5	1.083649	1425337353.532976	1425337352.44931	740	0
131072	2	50000	70	5	1.089519	1425333645.966921	1425333644.877386	740	0
131072	2	50000	70	5	1.089863	1425336432.447913	1425336431.358034	740	0
131072	2	50000	70	5	1.101914	1425339230.541499	1425339229.439475	-3100	0
4194304	2	5000	70	5	1.253466	1425332298.856362	1425332297.60288	972	232
4194304	2	5000	70	5	1.096592	1425335090.754002	1425335089.657299	-3100	0
4194304	2	5000	70	5	1.253054	1425337883.658072	1425337882.405001	972	232
524288	2	500	70	5	1.253007	1425331442.643227	1425331441.390203	972	232
2097152	1	5000	200	5	8.13552	1425334873.976828	1425334865.841291	3108	744
524288	2	500	70	5	1.270738	1425334240.330514	1425334239.059658	-2872	232
524288	2	500	70	5	1.082408	1425337029.495865	1425337028.413441	740	0
8388608	2	10000	80	5	1.418072	1425332979.396334	1425332977.978245	972	232
8388608	2	10000	80	5	1.22518	1425335768.042105	1425335766.816909	740	0
8388608	2	10000	80	5	1.418067	1425338563.797699	1425338562.379616	972	232
1048576	2	1000	80	5	1.420731	1425331772.227303	1425331770.806556	2596	232
1048576	2	1000	80	5	1.418782	1425334569.298966	1425334567.880167	972	232
1048576	2	1000	80	5	1.419399	1425337358.795426	1425337357.376011	972	232
131072	2	50000	80	5	1.230604	1425333651.031965	1425333649.801343	2388	0
131072	2	50000	80	5	1.423386	1425336437.698616	1425336436.275213	972	232
2097152	1	5000	200	5	8.133958	1425337662.857122	1425337654.723148	3104	744
131072	2	50000	80	5	1.231725	1425339235.590667	1425339234.358923	740	0
4194304	2	5000	80	5	1.416021	1425332304.092707	1425332302.676669	972	232
4194304	2	5000	80	5	1.225565	1425335095.809253	1425335094.583673	740	0
4194304	2	5000	80	5	1.417951	1425337888.913339	1425337887.495372	972	232
524288	2	500	80	5	1.418503	1425331447.905296	1425331446.486778	972	232
524288	2	500	80	5	1.22437	1425334245.35367	1425334244.129283	740	0
524288	2	500	80	5	1.227177	1425337034.566258	1425337033.339064	2364	0
8388608	2	10000	90	5	1.587581	1425332985.144284	1425332983.556688	972	232
8388608	2	10000	90	5	1.588359	1425335773.784467	1425335772.196092	972	232
8388608	2	10000	90	5	1.372202	1425338569.306153	1425338567.933936	740	0
131072	1	500	200	5	8.140753999999999	1425331419.618675	1425331411.477904	3092	744
524288	2	1000	90	5	1.594767	1425331777.950378	1425331776.355503	-2904	232
524288	2	1000	90	5	1.38071	1425334574.853009	1425334573.472191	-3100	0
524288	2	1000	90	5	1.3717	1425337364.315421	1425337362.943705	740	0
131072	2	50000	90	5	1.378999	1425333656.556853	1425333655.177837	740	0
131072	2	50000	90	5	1.379421	1425336443.2368	1425336441.857362	740	0
131072	2	50000	90	5	1.38149	1425339241.142039	1425339239.760532	2388	0
4194304	2	5000	90	5	1.596953	1425332309.823081	1425332308.22602	-2904	232
4194304	2	5000	90	5	1.371361	1425335101.337941	1425335099.966564	2388	0
4194304	2	5000	90	5	1.371879	1425337894.423814	1425337893.051919	740	0
262144	2	500	90	5	1.385512	1425331453.430575	1425331452.044953	-3104	0
131072	1	500	200	5	7.407044	1425334217.298934	1425334209.891873	3104	744
262144	2	500	90	5	1.583691	1425334251.084262	1425334249.500554	2596	232
262144	2	500	90	5	1.602814	1425337040.312288	1425337038.709358	-2872	232
524288	4	10000	1000	5	9.960264	1425333168.563545	1425333158.603264	2348	0
524288	4	10000	1000	5	9.975714	1425335957.565094	1425335947.589365	2360	0
524288	4	10000	1000	5	9.975892	1425338753.856991	1425338743.881083	2360	0
131072	4	50000	1000	5	9.964912	1425333838.969789	1425333829.00486	2348	0
131072	4	50000	1000	5	9.952493	1425336628.839519	1425336618.88701	2360	0
131072	4	50000	1000	5	9.962571000000001	1425339426.1104	1425339416.147813	2360	0
